productId,userId,score,time,summary,text,title,categories,description,directors,actors
B004BH1TN0,AWPODHOB4GFWL,5.0,2002-01-26,As Crisp As A Live Recording Can Be,"Recording with an audience of less than 1,000, this DVD feels like a club recording with it's Dolby Ditigal and DTS audio sound.  Host Mark McEwen gushes a tad much and the 'Live by Request' gimmick is not original.  Still, it manages to captivate.  Fifteen songs (one a medley of eight), five being from the last album, it's a collection that defies the ear with the groups tight instrumentals and harmonies.  &quot;She Keep On Coming&quot; and &quot;You Should Be Dancing&quot; rock the house, while &quot;Sacred Trust&quot; and &quot;How Can You Mend A Broken Heart&quot; lull the audience into a trance.  This recording is unique in that there are plenty of star 'call-ins' and lots of joking around.  Its surprising to hear Barry sing, &quot;Woman In Love&quot;, but &quot;Nights On Broadway&quot; is, once again, cut far too short for a song that contains some of their best work.<p>This is as close as a great live recording gets and a DVD well worth owning.  &quot;One Night Only&quot; is a great live recording as well, but nothing matches the intimacy of this presentation.","Bee Gees - Live By Request (Import, All Regions)","Movies & TV, Music Artists, Bee Gees","Celebrating 35 years of hitmaking, the Bee Gees take the stage in New York City with host Mark McEwen taking the requests as Barry, Maurice and Robin play your favorite songs from the last four decades. From A&E's popular ""Live By Request"" music series, the brothers Gibb perform five new classics and over a dozen all-time favorites in this unique, intimate concert captured in glorious surround sound. Songs: This Is Where I Came In, She Keeps on Coming, Sacred Trust, Man in the Middle, Massachusetts, To Love Somebody, I Started a Joke, Jive Talkin', How Can You Mend a Broken Heart, Gotta Get a Message To You, Acoustic Medley: New York Mining Disaster/Run to Me/Too Much Heaven/Islands in the Stream/Holiday/A Woman in Love/Guilty/Nights on Broadway, Wedding Day, Lonely Days, How Deep Is Your Love, You Should Be Dancin'.",,Bee Gees
B004BH1TN0,A39I79H1A2A8C3,4.0,2009-06-29,Plugging new album,Kind of bogus request.  Too much of their newest material.<br />Get the One Night Only!,"Bee Gees - Live By Request (Import, All Regions)","Movies & TV, Music Artists, Bee Gees","Celebrating 35 years of hitmaking, the Bee Gees take the stage in New York City with host Mark McEwen taking the requests as Barry, Maurice and Robin play your favorite songs from the last four decades. From A&E's popular ""Live By Request"" music series, the brothers Gibb perform five new classics and over a dozen all-time favorites in this unique, intimate concert captured in glorious surround sound. Songs: This Is Where I Came In, She Keeps on Coming, Sacred Trust, Man in the Middle, Massachusetts, To Love Somebody, I Started a Joke, Jive Talkin', How Can You Mend a Broken Heart, Gotta Get a Message To You, Acoustic Medley: New York Mining Disaster/Run to Me/Too Much Heaven/Islands in the Stream/Holiday/A Woman in Love/Guilty/Nights on Broadway, Wedding Day, Lonely Days, How Deep Is Your Love, You Should Be Dancin'.",,Bee Gees
B004BH1TN0,AUQW6UEZFC7B2,5.0,2003-04-25,Wonderful!,"I have been a Bee Gees fan for years.  It is really wonderful to see them again.  I love the songs from the new album &quot;This is Where I In&quot;.  It is really great to hear Maurice take the lead in two of the songs, &quot;Man in the Middle&quot; and &quot;Walking on Air&quot;.  While Barry and Robin have beautiful voices, I really enjoy listening to Maurice sing. After all these years, it is really great to see and hear the joy they still get from their music and from preforming together.<br />While precious minutes of the show were taken up with requests, it was still nice to see their interaction with the fans.  I think anyone who is a fan of Barry, Robin and Maurice will enjoy this video.  I have watched it over and over.  It is really sad that we won't have the chance to see the three of them together like this again.","Bee Gees - Live By Request (Import, All Regions)","Movies & TV, Music Artists, Bee Gees","Celebrating 35 years of hitmaking, the Bee Gees take the stage in New York City with host Mark McEwen taking the requests as Barry, Maurice and Robin play your favorite songs from the last four decades. From A&E's popular ""Live By Request"" music series, the brothers Gibb perform five new classics and over a dozen all-time favorites in this unique, intimate concert captured in glorious surround sound. Songs: This Is Where I Came In, She Keeps on Coming, Sacred Trust, Man in the Middle, Massachusetts, To Love Somebody, I Started a Joke, Jive Talkin', How Can You Mend a Broken Heart, Gotta Get a Message To You, Acoustic Medley: New York Mining Disaster/Run to Me/Too Much Heaven/Islands in the Stream/Holiday/A Woman in Love/Guilty/Nights on Broadway, Wedding Day, Lonely Days, How Deep Is Your Love, You Should Be Dancin'.",,Bee Gees
B0071AD95K,A3ENN12GLNTUAF,5.0,2010-05-25,Terrific DVD for anyone suffering,"This DVD is the third in the Passion 2006 series done by Louie Giglio.  The four videos go in order, so it is helpful to see them in order to follow the story throughout all of them.  However, having said that, this is still a very moving presentation about pain, suffering, and hope.  I would recommend this for high school and older, for Christians and non-Christians.<br /><br />You can watch this with someone who is suffering, and no one has to say a word at the end.  It is not intrusive or offensive, but is comforting because it is about the God who is truly big enough to comfort anyone in the worst circumstances in life.  And everyone experiences them at some point.  With this Hope presentation, and with all of them in the series, you definitely will sense that God does the supernatural ""heavy lifting"" that no human possibly can.<br /><br />Excellent for mentoring teens and older.  The audience in the video is largely college age.  Highly recommended!",Louie Giglio - Hope: When Life Hurts Most (Passion Talk Series),"Movies & TV, Featured Categories, DVD","Life isn t easy. We experience problems and setbacks every day. But duringthe hardest parts of life, when the bottom seems to fall out, wheredo we turn for peace? Although God offers Himself and His cross as ananchor of hope no matter what we face in life. The hope we fi nd in Himallows us to leverage our darkest moments for His fame.",,Louie Giglio
B0071AD95K,A2OKCS5234ZV7S,5.0,2010-03-01,Wow.............,"This is an awesome addition to your movie collection!... A great tool to use to witness to others. All four are great and I think that you need all four. We own all four and even our children are interested in the series. They even repeat things that are stated in the serious. We are all amazed at the topics and images. You will have to see this for yourself. If you have viewed any of the others, Hope is a must view as well. There really are not any words to describe the experience of viewing Hope. Also there is no statement that can tell you the experience of owning all four to share with others. You never know when you may encounter someone who may need what is in this series and you to can use this series to win souls, and bring someone out of the darkness and into the light.<br /><br />Our souls have truly been blessed by this series... we plan to bless others when they visit us with this series. Go ahead and Bless yourself, family, and friends with this awesome series, make sure you get all four and view them all. We tried to view them in the order that they are listed inside of the dvd. I don't know if it matters, as it is just what we did. Now we are waiting on the Blind side to come out.. Enjoy! You won't be the same! A treat for the whole family, friends, church family, and the neighborhood! Don't forget the popcorn! We use the crazy popcorn popper it is awesome with movies or without!<br /><br />This is one series that we are glad we did not pass by... all cultures will and should enjoy this!<br /><br />Always watch what you do and say to others as you never know what they are going through, or the impact you will have on them, and you never know who you are entertaining.<br /><br />Keep up the Good Work Louie Giglio!",Louie Giglio - Hope: When Life Hurts Most (Passion Talk Series),"Movies & TV, Featured Categories, DVD","Life isn t easy. We experience problems and setbacks every day. But duringthe hardest parts of life, when the bottom seems to fall out, wheredo we turn for peace? Although God offers Himself and His cross as ananchor of hope no matter what we face in life. The hope we fi nd in Himallows us to leverage our darkest moments for His fame.",,Louie Giglio
B000063W1R,A3QIEISBZP4QTV,5.0,2011-11-03,One of the best adventure movies ever,"Start with great material like the classic book this film is based on, use a great director, pick great locations, assemble an incredible cast mixing well known with newer actors, and then adapt the book in a brilliant screenplay, and you end up with a movie like this that is everything a movie should be.  Adventure, mystery, romance, action sequences, character and plot development, and humor are all combined into a masterpiece.<br /><br />The 1,000 page book by Dumas is, of course, a beloved classic with the theme of what would perfect revenge be like.  The book has complicated twists and a darker tone with an ending that feels like a let down in many ways.  Incredibly, the screenplay manages to summarize the book and include enough adaptations and a much more positive ending.  I can't say enough good about this screenplay and how well this movie adapts an intricate novel that would be impossible to film if you kept strictly to the plot of the novel.  The screenplay is perfectly balanced.  If you have watched several current adventure movies where the lighting is so dark, the action so blurred, the characters so poorly developed, and the plot so weak that you aren't even sure who you are watching and why they are doing whatever it is they are doing on the screen, you will appreciate the pacing of this film with clear lighting and a sound track that even grandfather can understand.<br /><br />The acting is perfect with no grandiloquent flourishes but enough idiosyncracy that each character seems perfectly drawn.  Caviezel just couldn't be better as the lead character Dantes who is betrayed by his best friend who marries his girlfriend and sends him to prison for life.  Dantes meets a wise prisoner with knowledge of a hidden fortune, played by the late Richard Harris, and eventually escapes and wreaks a carefully plotted revenge on each and every enemy who had wronged him.<br /><br />Without giving any more of the plot away, let me just say that this is the way movies should be and that the whole family will love this movie and watch it again and again as mine has.<br /><br />Available in several formats, and for a great price since this movie has been out for nearly 10 years, I definitely recommend this movie highly.  Five stars.",The Count of Monte Cristo [Region 2],"Movies & TV, Featured Categories, DVD, Action & Adventure",,,
B000063W1R,A18758S1PUYIDT,4.0,2010-10-26,"A tale of revenge, love, adventure, and endurance","I should have read the book by now!  That's what I was thinking as I was halfway through this particular version--the only movie version I've seen so far.  The cast is okay, though I think the woman playing Mercedes needed to do a better job of enunciating.  The hellhole of the prison was portrayed effectively, and I totally understand Dantes' (sp?) desire for revenge, although he does learn eventually that living just to get even is not the ideal way to live after all.",The Count of Monte Cristo [Region 2],"Movies & TV, Featured Categories, DVD, Action & Adventure",,,
B000063W1R,A2UFG3DMVELP6I,5.0,2010-05-31,Good,The movie was great I like it I actually ordered as a gift I already own it.  The price was good and so was the delivery.  Happy with the order.,The Count of Monte Cristo [Region 2],"Movies & TV, Featured Categories, DVD, Action & Adventure",,,
B000063W1R,A23Q1T4MXZHFM7,3.0,2009-06-14,Monte Cristo in 2 Hour Film?,"The Count of Monte Cristo by Alexandre Dumas is an over-1200-page voluminous novel. How could this super-long drama be fit into two hours? This film did that misson-impossible task. Compared with French TV-series starring Gerald Depardieu as the Count of Monte Cristo, first half of the story is well depicted, while the latter part is too brief. There is no Valentine nearly poisoned by her step mother, no Haydee, former Turk princess. And the story depends too much on duels so it is more visually described than the original story's deliberate revenge plan. But the relief is that Albert's role is spared and is given a huge part in this drama.<br /><br />Verdict: Monte Cristo for Young Adults<br />Rating: 70 out of 100. For shorter adaptation it is good.<br />Recommended for: Historical action movie fans and Three Musketeers appreciators.",The Count of Monte Cristo [Region 2],"Movies & TV, Featured Categories, DVD, Action & Adventure",,,
B000063W1R,A3N2MVBI1A2I9Y,5.0,2007-10-21,wow,"It is one of the best films I have seen and seen and seen. I can't tell you how many times I have watched this movie and still enjoy watching it again. The acting is surperb and the quality of the story is deep, entertaining, and thought provoking. An awesome buy and the purpose of owning is to watch it and watch it again and again if not why not just rent.",The Count of Monte Cristo [Region 2],"Movies & TV, Featured Categories, DVD, Action & Adventure",,,
