user_id,product_id,actual_rating,predicted_rating,word_overlap
A319SKSB556033,B001AQT0VI,4.0,4.2,0.16774193548387098
A1Q6QSDVNK3L7M,B002OHDRF2,5.0,4.2,0.2988505747126437
A39VCMXI2GKP98,B000FVQLQQ,4.0,4.5,0.2261904761904762
A29IYGR7SNPRIV,B000UGBOT0,4.0,4.2,0.1503267973856209
A8SS5YFQICR9W,B000FVQLQQ,5.0,5.0,0.26
A2YUU8P5BZQ0GQ,B000FVQLQQ,5.0,4.6,0.2798507462686567
A31GOMP97XPJMV,B0006FFRDE,4.0,4.0,0.5684210526315789
A26A1AMOKVKL5C,078401115X,1.0,2.4,0.4482758620689655
A112UYCJEYZPIP,B000063W1R,5.0,4.8,0.4878048780487805
A2J0VNTQTQO4R4,B000FVQLQQ,5.0,5.0,0.3694581280788177
